basin,play_subbasin,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021,mar_2021,apr_2021,may_2021
Barnett,Barnett,flared gas,mmcf,3,,,7,10,7,4,9,5,2,6,12,5,9,4,6,3,2,4,16,6,6,3,4,3,4,5,2,
Denver Julesberg,Niobrara,flared gas,mmcf,541,421,282,355,353,914,470,247,337,383,282,406,257,101,324,385,143,190,205,269,49,470,213,163,294,22,347,72,2
Eagleford,Eagle Ford,flared gas,mmcf,2269,906,848,2024,1012,2352,3242,4457,4313,3380,2863,3606,2436,1900,975,1645,1228,1739,1670,2473,1338,2252,1902,2208,1567,1012,1335,829,
Haynesville,Haynesville-Bossier,flared gas,mmcf,4,1,6,4,13,15,13,26,18,8,8,6,7,7,3,6,1,6,12,13,7,3,5,4,1,13,2,2,
Permian,All,flared gas,mmcf,17744,14453,15143,17532,16020,18992,20492,22603,19546,20338,16233,16257,16348,15317,9663,9133,7686,9738,9412,9874,6604,10337,7831,8995,6686,7460,7129,5119,64
Permian,Central Basin Platform,flared gas,mmcf,229,372,634,697,820,561,735,903,976,466,372,398,189,416,228,238,406,592,141,196,384,213,159,177,136,314,324,348,1
Permian,Delaware,flared gas,mmcf,9081,7427,8586,9643,10337,12212,11806,12709,11305,12063,9854,9855,10826,9434,5245,5595,5190,5372,5533,5452,3766,6399,5187,6363,4477,4436,4305,3139,49
Permian,Midland,flared gas,mmcf,7519,6026,5148,6637,4424,5518,7207,8395,6730,7309,5358,5379,4710,4806,3514,2742,1715,3250,3141,3563,2208,3288,2145,2141,1847,2443,2248,1410,1
Permian,Northwestern Shelf,flared gas,mmcf,480,291,459,315,285,424,367,244,180,170,262,183,251,221,280,147,131,233,123,206,113,183,90,98,73,127,88,127,13
Permian,Other,flared gas,mmcf,435,337,316,240,154,277,377,352,355,330,387,442,372,440,396,411,244,291,474,457,133,254,250,216,153,140,164,95,
Williston,Bakken,flared gas,mmcf,6891,6124,11324,6589,7016,10247,11122,10982,6969,7066,5810,7470,6600,6158,7028,5702,4037,3189,3290,4121,3669,3153,3481,2920,1787,2735,2472,2462,188
Williston,Three Forks,flared gas,mmcf,6893,6125,11324,6589,7018,10248,11123,10987,6971,7066,5810,7471,6601,6159,7028,5703,4038,3198,3290,4122,3669,3154,3530,2959,1824,2748,2478,2467,189
Barnett,Barnett,equivalent co2 released monthly,metric tons,164.40000,,,383.60000,548.00000,383.60000,219.20000,493.20000,274.00000,109.60000,328.80000,657.60000,274.00000,493.20000,219.20000,328.80000,164.40000,109.60000,219.20000,876.80000,328.80000,328.80000,164.40000,219.20000,164.40000,219.20000,274.00000,109.60000,
