state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021,mar_2021
CO,Antelope Energy Company Llc (Private),Antelope Energy Company Llc,Private,produced oil,Bbl,7.0,,,27.0,19.0,26.0,15.0,29.0,30.0,20.0,,,,,,,,,,,,,,,,,
CO,Apex Oil Ventures Inc (Private),Apex Oil Ventures Inc,Private,produced oil,Bbl,512.0,,466.0,,508.0,474.0,,,,,,,,,,,,,,,,,290.0,299.0,,226.0,
CO,Ausco Petroleum Inc (Private),Ausco Petroleum Inc,Private,produced oil,Bbl,176.0,63.0,151.0,150.0,104.0,84.0,87.0,84.0,405.0,281.0,31.0,,,,,,,,,,,,,,,,
CO,Axis Exploration Llc (Private),Axis Exploration Llc,Private,produced oil,Bbl,7063.0,5791.0,5559.0,6312.0,6016.0,5695.0,6004.0,5897.0,5177.0,,,,,,,,,,,,,,3090.0,4389.0,3206.0,423.0,
CO,Bison Oil Gas Ii Llc (Private),Bison Oil Gas Ii Llc,Private,produced oil,Bbl,,,,,,,,,,,,,,,,,,,,,,,,,238.0,,
CO,Ccrp Operating Inc (Private),Ccrp Operating Inc,Private,produced oil,Bbl,13161.0,20737.0,10021.0,13358.0,25335.0,19049.0,12136.0,26692.0,15339.0,11972.0,,,,,,,,,,,,,10119.0,1031.0,499.0,,
CO,Charles P Dunning Llc (Private),Charles P Dunning Llc,Private,produced oil,Bbl,1567.0,1119.0,1668.0,1621.0,1658.0,1486.0,1395.0,1333.0,1252.0,1400.0,1342.0,,,,,,,,1123.0,1096.0,1096.0,1087.0,1037.0,1072.0,,,
CO,Confluence Dj Llc (Private),Confluence Dj Llc,Private,produced oil,Bbl,,270.0,6663.0,9546.0,12540.0,10803.0,,,,,,,,,,,,,,,,,,,,,
CO,Crestone Peak Resources Operating Llc (Private),Crestone Peak Resources Operating Llc,Private,produced oil,Bbl,60773.0,51435.0,14280.0,33006.0,38193.0,72775.0,65999.0,120047.0,205646.0,238206.0,,,,,,,,,,,,,76210.0,105539.0,25932.0,62231.0,
CO,D90 Energy Llc (Private),D90 Energy Llc,Private,produced oil,Bbl,22362.0,19540.0,20069.0,9188.0,2260.0,,,,,,,,,,,,,,,,,,,,,,
CO,Eastco Operating Llc (Private),Eastco Operating Llc,Private,produced oil,Bbl,116.0,51.0,9.0,,139.0,92.0,136.0,134.0,104.0,123.0,139.0,,,,,,,,,,,,,,,,
CO,Edge Energy Ii Llc (Private),Edge Energy Ii Llc,Private,produced oil,Bbl,,,1118.0,214.0,246.0,253.0,251.0,300.0,,239.0,,,,,,,,,,,,,,,,,
CO,Energy Investments Inc (Private),Energy Investments Inc,Private,produced oil,Bbl,766.0,932.0,935.0,812.0,886.0,808.0,779.0,915.0,845.0,804.0,,,,,,,,,,,,777.0,968.0,,633.0,902.0,
CO,Fritz Digman Inc (Private),Fritz Digman Inc,Private,produced oil,Bbl,,31.0,87.0,,,,,43.0,101.0,79.0,,,,,,,,,,,,,87.0,80.0,81.0,39.0,
CO,Fritzler Resources Inc (Private),Fritzler Resources Inc,Private,produced oil,Bbl,,38.0,39.0,37.0,35.0,14.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,
CO,Gadeco Llc (Private),Gadeco Llc,Private,produced oil,Bbl,,,368.0,328.0,159.0,,,579.0,,,,,,,,,,,,,,,,,,,
CO,Grand Mesa Operating Co (Private),Grand Mesa Operating Co,Private,produced oil,Bbl,15538.0,12040.0,10519.0,5145.0,9677.0,1429.0,3246.0,9370.0,3884.0,7649.0,,,,,,,,,,,,,4271.0,5320.0,4532.0,,
CO,Grmr Oil Gas Llc (Private),Grmr Oil Gas Llc,Private,produced oil,Bbl,2830.0,2077.0,2329.0,2736.0,2378.0,2204.0,2186.0,1960.0,1748.0,1737.0,2003.0,,,,,,,,,,,,,,,,
CO,Incremental Oil Gas Florence Llc (Private),Incremental Oil Gas Florence Llc,Private,produced oil,Bbl,965.0,822.0,926.0,1461.0,1276.0,1212.0,1077.0,1170.0,,,,,,,,,,,,,,,,,,,
CO,Kp Kauffman Company Inc (Private),Kp Kauffman Company Inc,Private,produced oil,Bbl,878.0,536.0,32.0,49.0,297.0,211.0,366.0,654.0,177.0,397.0,,,,,,,,,,,,,430.0,783.0,240.0,707.0,
CO,Laramie Energy Llc (Private),Laramie Energy Llc,Private,produced oil,Bbl,,,,93.0,,76.0,38.0,147.0,100.0,105.0,,,,,,,,,,,,,46.0,58.0,8.0,36.0,
CO,Longs Peak Resources Llc (Private),Longs Peak Resources Llc,Private,produced oil,Bbl,9574.0,6659.0,6474.0,5944.0,8153.0,7958.0,7295.0,7710.0,7163.0,,,,,,,,,,,,,,,5846.0,5704.0,4356.0,
CO,Magpie Operating Inc (Private),Magpie Operating Inc,Private,produced oil,Bbl,,,,,,,,,,13062.0,,,,,,,,,,,,,,,,,
CO,Mallard Exploration Llc (Private),Mallard Exploration Llc,Private,produced oil,Bbl,,1576.0,9686.0,,14110.0,42592.0,48516.0,,,,,,,,,,,,,,,,,,,,
CO,Mccartney Engineering Llc (Private),Mccartney Engineering Llc,Private,produced oil,Bbl,285.0,283.0,315.0,254.0,233.0,293.0,329.0,,193.0,,,,,,,,,,,,,,,,,,
CO,Mccoy Petroleum Corporation (Private),Mccoy Petroleum Corporation,Private,produced oil,Bbl,,,,,,,,,,,,,,,,,,,,,,,,1565.0,726.0,817.0,843.0
CO,Merrion Oil Gas Corp (Private),Merrion Oil Gas Corp,Private,produced oil,Bbl,338.0,228.0,182.0,193.0,195.0,186.0,152.0,223.0,208.0,168.0,,,,,,,,,,,,,,,,119.0,236.0
CO,Murfin Drilling Company Inc (Private),Murfin Drilling Company Inc,Private,produced oil,Bbl,2039.0,1297.0,1586.0,1669.0,1088.0,,2436.0,1742.0,1531.0,1459.0,,,,,,,,,,,,,,807.0,719.0,573.0,713.0
CO,Nickel Road Operating Llc (Private),Nickel Road Operating Llc,Private,produced oil,Bbl,,,,,,,,,,2562.0,,,,,,,,,,,,,,,,,
CO,Organic Energy Company Llc (Private),Organic Energy Company Llc,Private,produced oil,Bbl,,2152.0,2366.0,2234.0,1421.0,3267.0,3925.0,,3205.0,,,,,,,,,,,,,,,2952.0,2954.0,2633.0,2959.0
CO,Oxbow Properties Inc (Private),Oxbow Properties Inc,Private,produced oil,Bbl,,,,,,,,,,,,,,,,,,,27.0,47.0,30.0,27.0,40.0,20.0,21.0,22.0,22.0
CO,Petro Operating Company Llc (Private),Petro Operating Company Llc,Private,produced oil,Bbl,,,,,,,15637.0,5842.0,,,,,,,,,,,,,,,,,,,
CO,Petroleum Resource Management Corp. (Private),Petroleum Resource Management Corp.,Private,produced oil,Bbl,20303.0,18127.0,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Phoenix Resources Llc (Private),Phoenix Resources Llc,Private,produced oil,Bbl,,,,,106.0,55.0,113.0,35.0,,,,,,,,,,,,,,,,,,,
CO,Prospect Energy Llc (Private),Prospect Energy Llc,Private,produced oil,Bbl,492.0,438.0,230.0,202.0,161.0,218.0,212.0,199.0,193.0,195.0,,,,,,,,,,,153.0,148.0,143.0,135.0,136.0,,
CO,Renegade Oil Gas Company Llc (Private),Renegade Oil Gas Company Llc,Private,produced oil,Bbl,2063.0,1706.0,1681.0,2545.0,2208.0,1983.0,1886.0,2342.0,1758.0,1736.0,,,,,,,,,,,,,1887.0,1879.0,1760.0,1315.0,
CO,Robert L Bayless Producer Llc (Private),Robert L Bayless Producer Llc,Private,produced oil,Bbl,270.0,228.0,126.0,86.0,330.0,129.0,352.0,358.0,368.0,,,,,,,,,,,,,194.0,193.0,,29.0,124.0,
CO,Seeley Oil Company Llc (Private),Seeley Oil Company Llc,Private,produced oil,Bbl,1435.0,1731.0,1766.0,1577.0,1819.0,1165.0,1129.0,1133.0,1178.0,,,,,,,,,,,,,,,1260.0,1208.0,1124.0,
CO,Tep Rocky Mountain Llc (Private),Tep Rocky Mountain Llc,Private,produced oil,Bbl,665.0,1974.0,2129.0,2035.0,1599.0,1493.0,1361.0,1495.0,1338.0,1338.0,,,,,,,,,,,,,4364.0,5165.0,2862.0,,
CO,Top Operating Company (Private),Top Operating Company,Private,produced oil,Bbl,,,,,,,,,,,,,,,,,,,,,,,15.0,11.0,18.0,,
CO,Tyler Rockies Exploration Ltd (Private),Tyler Rockies Exploration Ltd,Private,produced oil,Bbl,572.0,572.0,400.0,490.0,413.0,,604.0,377.0,231.0,441.0,271.0,,254.0,,,,,,,,,,,,,,
CO,Upland Exploration Llc (Private),Upland Exploration Llc,Private,produced oil,Bbl,,,,,,,,,,,,,,,,,,,,,,,7343.0,6913.0,6463.0,5166.0,
CO,Wesco Operating Inc (Private),Wesco Operating Inc,Private,produced oil,Bbl,,,,,,,,,,,,,,,,,,,,,,,273.0,412.0,230.0,203.0,
CO,Wexpro Company (Private),Wexpro Company,Private,produced oil,Bbl,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Wiepking-Fullerton Energy Llc (Private),Wiepking-Fullerton Energy Llc,Private,produced oil,Bbl,225.0,190.0,7722.0,8305.0,2061.0,186.0,170.0,152.0,171.0,62.0,80.0,,,,,,,,,,,,,127.0,163.0,90.0,
CO,Bonanza Creek Energy Inc (BCEI),Bonanza Creek Energy Inc,BCEI,produced oil,Bbl,787549.0,678432.0,151350.0,139745.0,122447.0,266816.0,313057.0,103531.0,98540.0,48056.0,43521.0,38325.0,41681.0,33646.0,35155.0,32189.0,33812.0,32730.0,31731.0,30190.0,26244.0,28006.0,24223.0,22579.0,27170.0,17403.0,
CO,Caerus Oil And Gas (Private),Caerus Oil And Gas,Private,produced oil,Bbl,2998.0,5820.0,576.0,6747.0,6171.0,3208.0,4926.0,6907.0,5476.0,4231.0,,,,,,,,,,,,,7281.0,6074.0,7907.0,4831.0,
CO,ConocoPhillips Co (COP),ConocoPhillips Co,COP,produced oil,Bbl,305.0,3026.0,418.0,2590.0,3454.0,2089.0,12.0,564.0,4056.0,2311.0,,,,,,,,,,,,,,,,,
CO,Chevron Corp (CVX),Chevron Corp,CVX,produced oil,Bbl,826254.0,695755.0,784836.0,552633.0,609698.0,953935.0,1175804.0,1088730.0,1052801.0,267508.0,,,,,,,,5124.0,5008.0,4776.0,,18849.0,544331.0,629821.0,729952.0,202901.0,
CO,Enerplus Corp (ERF),Enerplus Corp,ERF,produced oil,Bbl,43711.0,35832.0,34864.0,31212.0,27807.0,24832.0,12633.0,6752.0,68348.0,78494.0,26654.0,9170.0,17742.0,29619.0,,14202.0,6206.0,5585.0,5835.0,5374.0,4917.0,9458.0,1786.0,6893.0,,,
CO,Great Western Operating Co LLC (Private),Great Western Operating Co LLC,Private,produced oil,Bbl,609.0,593.0,13372.0,,,,,,,,,,,,,,,,,,,,,,,,
CO,Kinder Morgan Inc (KMI),Kinder Morgan Inc,KMI,produced oil,Bbl,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,2.0
