state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021,mar_2021
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,reported equivalent co2 released,Metric tons,16781.8972,18549.8548,19735.6172,20945.7656,13386.0508,18007.3348,19790.5268,7607.6648,9247.6096,11493.9164,7596.3760,4350.7912,4706.7720,1810.4824,2139.1728,1022.7872,,1780.6712,3424.3972,649.7636,493.4192,911.3240,2142.8444,1326.1052,839.5908,1651.5076,1895.2032
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,blended estimate equivalent co2 released,Metric tons,14876.5012,16133.7228,23630.9108,17737.3900,12498.8388,16248.3096,19162.2448,6363.2664,8615.1080,10651.5856,6059.4004,2651.0048,3920.5016,1645.8084,1944.4684,834.6040,,1272.3464,3982.9736,400.3688,261.7796,593.9224,1757.1072,1804.8380,1157.3760,2029.7920,1041.2000
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,sat estimated volume,Mcf,236699,250321,502302,265128,211892,264404,338210,93411,145668,179001,82525,17357,57194,27027,31929,11796,,13943,82875,2755,550,5047,25025,41670,26919,43943,19000
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,reported volume,Mcf,306239,338501,360139,382222,244271,328601,361141,138826,168752,209743,138620,79394,85890,33038,39036,18664,,32494,62489,11857,9004,16630,39103,24199,15321,30137,34584
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,sat estimate lower,Mcf,194414,205603,412569,217764,174038,217170,277791,76723,119645,147023,67783,14256,46977,22199,26225,9689,,11452,68070,2263,452,4145,20554,34226,22110,36093,15606
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,sat estimate upper,Mcf,278984,295039,592035,312491,249745,311638,398629,110098,171690,210978,97268,20458,67411,31855,37633,13904,,16433,97681,3247,648,5949,29495,49114,31728,51793,22394
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,blended estimate,Mcf,271469,294411,431221,323675,228081,296502,349676,116118,157210,194372,110573,48376,71542,30033,35483,15230,,23218,72682,7306,4777,10838,32064,32935,21120,37040,19000
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,produced oil,Bbl,359117,321139,325056,270252,212249,224777,250380,256664,231629,240104,211573,195407,162799,124051,141260,51296,,85668,119574,96407,87509,100047,137562,137286,116051,87890,84187
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,produced gas,Mcf,1044440,1013255,1110345,1033461,803201,789467,912863,941296,985745,1090211,1033790,1025786,902067,655817,708135,267628,,338223,473899,451240,452578,519379,688777,780220,686350,571347,571607
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,reported equivalent co2 released,Metric tons,25461.9432,14787.3416,55733.9016,77762.0220,67655.0936,53349.7728,67995.6208,53762.9648,48872.0648,41564.6492,50064.6224,31850.1984,36821.3804,26845.4788,27239.3264,15422.0352,5193.7248,5202.1640,6858.2748,15916.6052,17376.0388,18466.0108,17600.1708,9579.3688,8814.6348,14688.7016,10488.3364
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,blended estimate equivalent co2 released,Metric tons,35356.1380,23524.5440,60437.3856,62142.4328,59705.6412,56208.6888,66045.8916,56661.4464,44671.0420,36613.7980,39638.2100,32970.9680,35758.2604,26991.7400,29466.5628,23187.3596,6223.6908,3927.2420,6722.0968,17609.1032,23006.1908,20273.4792,20096.1464,16250.9948,13246.3108,19502.5528,23004.6016
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,sat estimated volume,Mcf,825736,588719,1188702,848956,944456,1077876,1169638,1086860,738503,577791,533062,622112,633122,495218,578353,564830,132365,48400,120182,352219,522560,402938,412264,418295,322590,443731,419792
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,reported volume,Mcf,464634,269842,1017042,1419015,1234582,973536,1240796,981076,891826,758479,913588,581208,671923,489881,497068,281424,94776,94930,125151,290449,317081,336971,321171,174806,160851,268042,191393
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,sat estimate lower,Mcf,794791,566657,1144155,817141,909063,1037482,1125805,1046130,710828,556138,513085,598798,609396,476660,556679,543663,127405,46586,115678,339020,502977,387837,396815,402619,310501,427102,404060
