state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,sat estimated volume,Mcf,259416,274345,550510,290573,232227,289779,370669,102376,159648,196180,90446,19023,62683,29621,34994,12929,,15281,90829,3020,602,5531,27426,45669,29503,48160
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,reported volume,Mcf,306239,338501,360139,382222,244271,328601,361141,138826,168752,209743,138620,79394,85890,33038,39036,18664,,32494,62489,11857,9004,16630,39103,24199,15321,
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,reported equivalent co2 released,metric tons,16781.9,18549.9,19735.6,20945.8,13386.1,18007.3,19790.5,7607.7,9247.6,11493.9,7596.4,4350.8,4706.8,1810.5,2139.2,1022.8,,1780.7,3424.4,649.8,493.4,911.3,2142.8,1326.1,839.6,
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,sat estimate lower,Mcf,230735,244014,489646,258447,206553,257742,329688,91057,141997,174491,80446,16920,55753,26346,31125,11499,,13591,80787,2686,536,4920,24394,40620,26241,42836
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,sat estimate upper,Mcf,288097,304677,611373,322698,257902,321817,411650,113694,177298,217870,100445,21126,69613,32896,38863,14358,,16970,100871,3354,669,6143,30458,50719,32765,53485
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,blended estimate,Mcf,282828,306423,455324,336397,238249,309190,365905,120601,164200,202962,114533,49208,74286,31330,37015,15796,,23887,76659,7438,4803,11081,33265,34934,29503,48160
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,blended estimate equivalent co2 released,metric tons,15499.0,16792.0,24951.8,18434.6,13056.0,16943.6,20051.6,6608.9,8998.2,11122.3,6276.4,2696.6,4070.9,1716.9,2028.4,865.6,,1309.0,4200.9,407.6,263.2,607.2,1822.9,1914.4,1616.8,2639.2
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,produced oil,Bbl,359117,321139,325056,270252,212249,224777,250380,256664,231629,240104,211573,195407,162799,124051,141260,51296,,85668,119574,96407,87509,100047,137562,137286,116051,
ND,Abraxas Petroleum Corp (AXAS),Abraxas Petroleum Corp,AXAS,produced gas,Mcf,1044440,1013255,1110345,1033461,803201,789467,912863,941296,985745,1090211,1033790,1025786,902067,655817,708135,267628,,338223,473899,451240,452578,519379,688777,780220,686350,
ND,Bruin EP Partners LLC (Private),Bruin EP Partners LLC,Private,sat estimated volume,Mcf,981812,1117103,1257583,864912,954033,1570099,1525337,1097014,735850,478976,700291,446064,414640,326922,139825,159518,104858,122795,43036,30670,21617,32614,17707,24221,12538,42032
ND,Bruin EP Partners LLC (Private),Bruin EP Partners LLC,Private,reported volume,Mcf,918363,829247,950256,975431,1271507,1458231,1693575,1158297,882417,684941,1069166,586666,497023,353053,261508,131232,90401,150289,141436,137332,155336,208264,202183,149908,121995,
